IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
192.18.148.248,4,4,0.00,14.17,0.00
129.213.202.222,4,4,0.00,15.49,0.00
150.136.87.192,4,4,0.00,17.28,0.00
150.136.219.185,4,4,0.00,18.74,0.00
47.90.141.204,4,4,0.00,20.79,0.00
47.253.105.131,4,4,0.00,20.87,0.00
47.251.95.178,4,4,0.00,47.90,0.00
47.88.15.127,4,4,0.00,47.95,0.00
47.254.65.110,4,4,0.00,48.80,0.00
47.89.244.253,4,4,0.00,48.96,0.00
47.88.19.223,4,4,0.00,49.47,0.00
192.9.250.241,4,4,0.00,49.81,0.00
129.146.111.62,4,4,0.00,49.85,0.00
129.146.33.223,4,4,0.00,49.91,0.00
192.18.134.22,4,4,0.00,50.15,0.00
192.9.157.76,4,4,0.00,50.18,0.00
129.153.203.62,4,4,0.00,50.22,0.00
141.148.170.160,4,4,0.00,50.24,0.00
129.146.168.102,4,4,0.00,50.25,0.00
192.9.158.188,4,4,0.00,50.32,0.00
132.226.31.178,4,4,0.00,50.37,0.00
152.67.231.219,4,4,0.00,50.45,0.00
150.230.34.116,4,4,0.00,50.52,0.00
140.84.179.114,4,4,0.00,50.57,0.00
158.101.33.35,4,4,0.00,50.61,0.00
129.146.240.62,4,4,0.00,50.74,0.00
129.146.243.241,4,4,0.00,51.04,0.00
129.146.60.210,4,4,0.00,51.27,0.00
155.248.196.123,4,4,0.00,52.06,0.00
192.9.138.241,4,4,0.00,52.20,0.00
158.101.24.17,4,4,0.00,52.62,0.00
129.146.213.151,4,4,0.00,52.69,0.00
129.159.84.71,4,4,0.00,56.00,0.00
152.70.155.147,4,4,0.00,60.72,0.00
141.145.199.188,4,4,0.00,99.50,0.00
141.144.197.111,4,4,0.00,100.16,0.00
158.101.209.76,4,4,0.00,100.32,0.00
141.148.227.19,4,4,0.00,100.38,0.00
152.70.52.215,4,4,0.00,100.90,0.00
193.123.62.153,4,4,0.00,101.93,0.00
141.148.187.195,4,4,0.00,103.15,0.00
141.144.193.182,4,4,0.00,106.08,0.00
144.21.40.182,4,4,0.00,106.66,0.00
144.21.42.106,4,4,0.00,106.73,0.00
158.101.212.81,4,4,0.00,106.75,0.00
152.70.60.73,4,4,0.00,106.80,0.00
143.47.183.189,4,4,0.00,106.80,0.00
141.144.198.32,4,4,0.00,106.91,0.00
152.70.48.207,4,4,0.00,106.97,0.00
143.47.251.235,4,4,0.00,106.98,0.00
141.148.242.3,4,4,0.00,106.99,0.00
130.162.174.224,4,4,0.00,107.06,0.00
141.144.198.125,4,4,0.00,107.13,0.00
143.47.247.46,4,4,0.00,107.20,0.00
141.148.230.48,4,4,0.00,107.21,0.00
141.148.227.150,4,4,0.00,107.25,0.00
130.162.191.117,4,4,0.00,107.26,0.00
144.21.42.90,4,4,0.00,107.29,0.00
144.21.55.115,4,4,0.00,107.33,0.00
158.101.222.231,4,4,0.00,107.34,0.00
141.144.198.20,4,4,0.00,107.36,0.00
141.148.247.250,4,4,0.00,107.38,0.00
141.148.236.143,4,4,0.00,107.42,0.00
158.101.222.4,4,4,0.00,107.47,0.00
141.148.230.78,4,4,0.00,107.48,0.00
193.123.57.228,4,4,0.00,107.49,0.00
130.162.162.178,4,4,0.00,107.53,0.00
143.47.188.168,4,4,0.00,107.58,0.00
158.101.193.10,4,4,0.00,107.61,0.00
152.70.62.169,4,4,0.00,107.64,0.00
152.70.59.14,4,4,0.00,107.65,0.00
143.47.238.6,4,4,0.00,107.66,0.00
158.101.214.66,4,4,0.00,107.66,0.00
193.123.181.241,4,4,0.00,107.72,0.00
141.147.97.26,4,4,0.00,107.73,0.00
152.70.52.209,4,4,0.00,107.78,0.00
193.123.58.139,4,4,0.00,107.80,0.00
141.147.107.115,4,4,0.00,107.83,0.00
152.70.48.65,4,4,0.00,107.85,0.00
138.2.170.185,4,4,0.00,107.85,0.00
158.101.211.186,4,4,0.00,107.87,0.00
141.148.241.173,4,4,0.00,107.87,0.00
193.123.59.83,4,4,0.00,107.87,0.00
141.148.239.19,4,4,0.00,107.88,0.00
141.147.80.192,4,4,0.00,107.88,0.00
141.147.104.109,4,4,0.00,107.89,0.00
158.101.200.177,4,4,0.00,107.89,0.00
158.101.210.7,4,4,0.00,107.90,0.00
132.145.67.10,4,4,0.00,107.91,0.00
130.162.184.66,4,4,0.00,107.91,0.00
130.162.173.113,4,4,0.00,107.92,0.00
143.47.191.59,4,4,0.00,107.92,0.00
193.123.58.130,4,4,0.00,107.93,0.00
141.147.67.72,4,4,0.00,107.93,0.00
141.148.241.237,4,4,0.00,107.94,0.00
144.21.61.241,4,4,0.00,107.95,0.00
193.123.56.130,4,4,0.00,107.96,0.00
158.101.213.99,4,4,0.00,107.97,0.00
130.162.214.183,4,4,0.00,107.99,0.00
152.67.146.127,4,4,0.00,108.00,0.00
130.162.187.134,4,4,0.00,108.01,0.00
141.148.235.149,4,4,0.00,108.03,0.00
158.101.218.218,4,4,0.00,108.04,0.00
144.21.39.254,4,4,0.00,108.04,0.00
143.47.178.92,4,4,0.00,108.04,0.00
158.101.207.19,4,4,0.00,108.05,0.00
193.123.56.181,4,4,0.00,108.06,0.00
141.147.68.147,4,4,0.00,108.08,0.00
150.230.121.43,4,4,0.00,108.09,0.00
193.123.191.61,4,4,0.00,108.13,0.00
193.123.180.183,4,4,0.00,108.14,0.00
138.3.251.23,4,4,0.00,108.14,0.00
158.101.202.8,4,4,0.00,108.16,0.00
152.70.41.122,4,4,0.00,108.16,0.00
152.70.51.109,4,4,0.00,108.17,0.00
158.101.205.81,4,4,0.00,108.18,0.00
130.162.161.55,4,4,0.00,108.19,0.00
